127.0.0.1 - - [03/Mar/2023:11:42:09 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:42:13 +0530] "GET /Project/ HTTP/1.1" 200 3424
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:42:13 +0530] "GET /Project/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:42:13 +0530] "GET /Project/assets/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:42:13 +0530] "GET /Project/assets/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:42:13 +0530] "GET /Project/assets/js/jquery-1.10.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:42:13 +0530] "GET /Project/assets/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:42:14 +0530] "GET /Project/assets/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:42:14 +0530] "GET /Project/assets/img/musical-instruments.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:42:14 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:42:14 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:42:29 +0530] "POST /Project/AdminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:42:30 +0530] "GET /Project/after-admin-login.jsp HTTP/1.1" 200 6372
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:42:30 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:42:30 +0530] "GET /Project/assets/fonts/fontawesome-webfont862f.woff?v=4.1.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:42:43 +0530] "GET /Project/add-product.jsp HTTP/1.1" 200 7139
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:42:43 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:42:47 +0530] "GET /Project/update-product.jsp HTTP/1.1" 200 8715
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:42:47 +0530] "GET /Project/assets/js/dataTables/dataTables.bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:42:47 +0530] "GET /Project/assets/js/dataTables/dataTables.bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:42:47 +0530] "GET /Project/assets/js/dataTables/jquery.dataTables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:42:47 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:42:47 +0530] "GET /binarytheme.com/BTlivedemos/2014/08/29/horizontal-admin/assets/js/images/sort_both.html HTTP/1.1" 404 875
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:42:53 +0530] "GET /Project/display-customer.jsp HTTP/1.1" 200 8663
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:42:54 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:42:56 +0530] "GET /Project/view-shops.jsp HTTP/1.1" 200 8668
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:42:56 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:42:59 +0530] "GET /Project/view-purchase-product.jsp HTTP/1.1" 200 7175
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:42:59 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:43:02 +0530] "GET /Project/sales.jsp HTTP/1.1" 200 7625
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:43:02 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:43:09 +0530] "POST /Project/sales-data.jsp HTTP/1.1" 200 7644
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:43:10 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:43:18 +0530] "GET /Project/view-vendors.jsp HTTP/1.1" 200 8646
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:43:18 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:43:21 +0530] "GET /Project/view-vendors.jsp HTTP/1.1" 200 8646
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:43:21 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:43:22 +0530] "GET /Project/daily-report.jsp HTTP/1.1" 200 9339
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:43:23 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
